participant,session,typing_speed,pause_ratio,backspace_ratio,mean_dwell,timing_variance,label
p094,2,1.628407543864976,0.04977203647416414,0.023556231003039513,0.35726025835866265,30.177974450800896,neutral
p095,1,2.3374419668664337,0.06158238172920065,0.010603588907014683,0.08697349102773246,0.21436399182242805,interested
p095,2,2.549844497849996,0.03508771929824561,0.017543859649122806,0.08866094584286804,0.7777782540603009,interested
p097,1,1.6230631722549467,0.08323517864153906,0.024734982332155476,0.8022932862190815,189.31872331765422,neutral
p097,2,2.0450425933715075,0.07726597325408618,0.021173848439821695,0.7261779346210996,100.16862349150671,interested
p098,1,2.836587376649841,0.03805496828752643,0.07716701902748414,0.2678720930232558,1.643306175016664,interested
p098,2,2.1862054069305072,0.009584664536741214,0.05147319843805467,0.2930191693290735,39.08620650892082,interested
p099,1,3.46942210196556,0.026792179580014484,0.05394641564083997,0.09420507246376811,0.058033558126704465,interested
p099,2,3.4997580345093064,0.0314257360238174,0.07376778035064506,0.09133642077406551,0.061560629638554375,interested
p100,1,4.014912527076228,0.01287001287001287,0.10682110682110682,0.10117631917631918,1.5325792386406873,neutral
p100,2,2.7556958219623504,0.01110022853411688,0.08096637283708782,0.2537531831537708,8.772236835332544,interested
